id v0 v1
1265 498 496
1266 495 506
1267 675 495
1268 494 495
1269 498 494
1270 674 494
1271 493 497
1272 553 493
1273 492 493
1274 552 492
1275 491 496
1276 671 491
1277 490 491
1278 492 490
1279 670 490
1280 486 487
1281 487 727
1282 726 486
1283 484 485
1284 485 486
1285 487 489
1286 489 488
1287 488 484
1288 480 481
1289 481 484
1290 485 483
1291 483 482
1292 482 480
1293 479 483
1294 719 479
1295 478 479
1296 718 478
1297 476 477
1298 477 478
1299 482 476
1300 472 473
1301 473 476
1302 477 475
1303 475 474
1304 474 472
1305 471 475
1306 711 471
1307 470 471
1308 710 470
1309 468 469
1310 469 470
1311 474 468
1312 330 331
1313 331 352
1314 352 353
1315 353 335
1316 335 334
1317 334 330
1318 329 331
1319 352 354
1320 354 348
1321 348 345
1322 345 329
1323 325 344
1324 344 346
1325 346 340
1326 340 400
1327 400 406
1328 406 404
1329 404 385
1330 385 325
1331 324 325
1332 344 345
1333 329 328
1334 328 324
1335 319 321
1336 321 332
1337 332 334
1338 330 327
1339 327 319
1340 316 317
1341 317 320
1342 320 321
1343 319 318
1344 318 316
1345 315 326
1346 326 328
1347 324 384
1348 384 388
1349 388 386
1350 386 375
1351 375 315
1352 314 315
1353 326 327
1354 318 314
1355 375 374
1356 374 314
1357 311 316
1358 374 378
1359 378 376
1360 376 371
1361 371 311
1362 310 311
1363 317 313
1364 313 312
1365 312 310
1366 371 370
1367 370 310
1368 308 309
1369 309 369
1370 369 368
1371 368 308
1372 307 309
1373 369 367
1374 367 607
1375 547 307
1376 306 307
1377 546 306
1378 304 305
1379 305 306
1380 308 304
1381 300 301
1382 301 304
1383 305 303
1384 303 302
1385 302 300
1386 299 303
1387 539 299
1388 298 299
1389 538 298
1390 296 297
1391 297 298
1392 302 296
1393 292 293
1394 293 296
1395 297 295
1396 295 294
1397 294 292
1398 291 295
1399 531 291
1400 290 291
1401 530 290
1402 288 289
1403 289 290
1404 294 288
1405 284 285
1406 285 288
1407 289 287
1408 287 286
1409 286 284
1410 283 287
1411 523 283
1412 262 263
1413 263 323
1414 323 322
1415 322 262
1416 260 261
1417 261 272
1418 272 273
1419 273 263
1420 262 260
1421 256 257
1422 257 260
1423 261 259
1424 259 258
1425 258 256
1426 255 266
1427 266 268
1428 268 264
1429 264 444
1430 444 448
1431 448 446
1432 446 435
1433 435 255
1434 254 255
1435 266 267
1436 267 259
1437 258 254
1438 272 274
1439 274 270
1440 270 267
1441 435 434
1442 434 254
1443 253 257
1444 322 320
1445 313 253
1446 252 253
1447 312 252
1448 250 251
1449 251 256
1450 252 250
1451 332 333
1452 333 336
1453 336 337
1454 337 335
1455 434 438
1456 438 436
1457 436 431
1458 431 251
1459 282 283
1460 522 282
1461 431 430
1462 430 250
1463 333 323
1464 370 372
1465 372 432
1466 432 430
1467 462 463
1468 463 703
1469 702 462
1470 273 276
1471 276 277
1472 277 275
1473 275 274
1474 276 278
1475 278 338
1476 338 336
1477 264 265
1478 265 445
1479 445 444
1480 265 284
1481 285 269
1482 269 268
1483 286 280
1484 280 460
1485 460 466
1486 466 464
1487 464 445
1488 270 271
1489 271 269
1490 271 292
1491 293 275
1492 277 300
1493 301 279
1494 279 278
1495 279 339
1496 339 338
1497 385 384
1498 281 282
1499 462 461
1500 461 281
1501 368 364
1502 364 361
1503 361 339
1504 280 281
1505 461 460
1506 337 360
1507 360 362
1508 362 356
1509 356 353
1510 360 361
1511 340 341
1512 341 401
1513 401 400
1514 341 342
1515 342 343
1516 343 347
1517 347 346
1518 342 582
1519 642 402
1520 402 401
1521 464 465
1522 465 468
1523 469 467
1524 467 466
1525 343 583
1526 347 349
1527 349 350
1528 350 590
1529 348 349
1530 350 351
1531 351 355
1532 355 354
1533 351 591
1534 355 357
1535 357 358
1536 358 598
1537 356 357
1538 358 359
1539 359 363
1540 363 362
1541 359 599
1542 363 365
1543 365 366
1544 366 606
1545 364 365
1546 366 367
1547 376 377
1548 377 373
1549 373 372
1550 373 433
1551 433 432
1552 377 380
1553 380 382
1554 382 442
1555 442 440
1556 440 437
1557 437 433
1558 386 387
1559 387 379
1560 379 378
1561 380 381
1562 381 379
1563 381 392
1564 392 394
1565 394 390
1566 390 387
1567 392 393
1568 393 383
1569 383 382
1570 383 443
1571 443 442
1572 393 396
1573 396 398
1574 398 458
1575 458 456
1576 456 453
1577 453 443
1578 404 405
1579 405 389
1580 389 388
1581 390 391
1582 391 389
1583 391 412
1584 412 414
1585 414 408
1586 408 405
1587 412 413
1588 413 395
1589 395 394
1590 396 397
1591 397 395
1592 397 420
1593 420 422
1594 422 416
1595 416 413
1596 420 421
1597 421 399
1598 399 398
1599 399 459
1600 459 458
1601 421 424
1602 424 428
1603 428 488
1604 481 459
1605 402 403
1606 403 407
1607 407 406
1608 403 643
1609 407 409
1610 409 410
1611 410 650
1612 408 409
1613 410 411
1614 411 415
1615 415 414
1616 411 651
1617 415 417
1618 417 418
1619 418 658
1620 416 417
1621 418 419
1622 419 423
1623 423 422
1624 419 659
1625 423 425
1626 425 426
1627 426 666
1628 424 425
1629 426 427
1630 427 429
1631 429 428
1632 427 667
1633 429 489
1634 436 437
1635 446 447
1636 447 439
1637 439 438
1638 440 441
1639 441 439
1640 441 452
1641 452 454
1642 454 450
1643 450 447
1644 452 453
1645 465 449
1646 449 448
1647 450 451
1648 451 449
1649 451 472
1650 473 455
1651 455 454
1652 456 457
1653 457 455
1654 457 480
1655 463 467
