id x y z
581 -0.0330996 0.996215 -0.0803753
582 -0.0803753 0.996215 -0.0330996
583 -0.186621 0.981871 -0.0331946
584 -0.120956 0.928132 -0.352052
585 -0.259323 0.886096 -0.384169
586 -0.11258 0.969222 -0.218941
587 -0.218941 0.969222 -0.11258
588 -0.384169 0.886096 -0.259323
589 -0.352052 0.928132 -0.120956
590 -0.443926 0.895111 -0.0412999
591 -0.576487 0.816057 -0.0414014
592 -0.56613 0.704857 -0.427403
593 -0.704857 0.56613 -0.427403
594 -0.535771 0.799255 -0.272288
595 -0.635557 0.760402 -0.133629
596 -0.799255 0.535771 -0.272288
597 -0.760402 0.635557 -0.133629
598 -0.816057 0.576487 -0.0414014
599 -0.895111 0.443926 -0.0412999
600 -0.886096 0.259323 -0.384169
601 -0.928132 0.120956 -0.352052
602 -0.886096 0.384169 -0.259323
603 -0.928132 0.352052 -0.120956
604 -0.969222 0.11258 -0.218941
605 -0.969222 0.218941 -0.11258
606 -0.981871 0.186621 -0.0331946
607 -0.996215 0.0803753 -0.0330996
608 -0.981871 0.0331946 -0.186621
609 -0.996215 0.0330996 -0.0803753
610 0.0330996 0.0803753 -0.996215
611 0.0331946 0.186621 -0.981871
612 0.0803753 0.0330996 -0.996215
613 0.186621 0.0331946 -0.981871
614 0.0412999 0.443926 -0.895111
615 0.0414014 0.576487 -0.816057
616 0.11258 0.218941 -0.969222
617 0.218941 0.11258 -0.969222
618 0.120956 0.352052 -0.928132
619 0.259323 0.384169 -0.886096
620 0.352052 0.120956 -0.928132
621 0.384169 0.259323 -0.886096
622 0.443926 0.0412999 -0.895111
623 0.576487 0.0414014 -0.816057
624 0.0414014 0.816057 -0.576487
625 0.0412999 0.895111 -0.443926
626 0.133629 0.635557 -0.760402
627 0.272288 0.535771 -0.799255
628 0.133629 0.760402 -0.635557
629 0.272288 0.799255 -0.535771
630 0.427403 0.56613 -0.704857
631 0.427403 0.704857 -0.56613
632 0.535771 0.272288 -0.799255
633 0.635557 0.133629 -0.760402
634 0.56613 0.427403 -0.704857
635 0.704857 0.427403 -0.56613
636 0.760402 0.133629 -0.635557
637 0.799255 0.272288 -0.535771
638 0.816057 0.0414014 -0.576487
639 0.895111 0.0412999 -0.443926
640 0.0331946 0.981871 -0.186621
641 0.0330996 0.996215 -0.0803753
642 0.0803753 0.996215 -0.0330996
643 0.186621 0.981871 -0.0331946
644 0.120956 0.928132 -0.352052
645 0.259323 0.886096 -0.384169
646 0.11258 0.969222 -0.218941
647 0.218941 0.969222 -0.11258
648 0.384169 0.886096 -0.259323
649 0.352052 0.928132 -0.120956
650 0.443926 0.895111 -0.0412999
651 0.576487 0.816057 -0.0414014
652 0.56613 0.704857 -0.427403
653 0.704857 0.56613 -0.427403
654 0.535771 0.799255 -0.272288
655 0.635557 0.760402 -0.133629
656 0.799255 0.535771 -0.272288
657 0.760402 0.635557 -0.133629
658 0.816057 0.576487 -0.0414014
659 0.895111 0.443926 -0.0412999
660 0.886096 0.259323 -0.384169
661 0.928132 0.120956 -0.352052
662 0.886096 0.384169 -0.259323
663 0.928132 0.352052 -0.120956
664 0.969222 0.11258 -0.218941
665 0.969222 0.218941 -0.11258
666 0.981871 0.186621 -0.0331946
667 0.996215 0.0803753 -0.0330996
668 0.981871 0.0331946 -0.186621
669 0.996215 0.0330996 -0.0803753
670 0.0330996 -0.0803753 -0.996215
671 0.0331946 -0.186621 -0.981871
672 0.0803753 -0.0330996 -0.996215
673 0.186621 -0.0331946 -0.981871
674 0.0412999 -0.443926 -0.895111
675 0.0414014 -0.576487 -0.816057
676 0.11258 -0.218941 -0.969222
677 0.218941 -0.11258 -0.969222
678 0.120956 -0.352052 -0.928132
679 0.259323 -0.384169 -0.886096
680 0.352052 -0.120956 -0.928132
681 0.384169 -0.259323 -0.886096
682 0.443926 -0.0412999 -0.895111
683 0.576487 -0.0414014 -0.816057
684 0.0414014 -0.816057 -0.576487
685 0.0412999 -0.895111 -0.443926
686 0.133629 -0.635557 -0.760402
687 0.272288 -0.535771 -0.799255
688 0.133629 -0.760402 -0.635557
689 0.272288 -0.799255 -0.535771
690 0.427403 -0.56613 -0.704857
691 0.427403 -0.704857 -0.56613
692 0.535771 -0.272288 -0.799255
693 0.635557 -0.133629 -0.760402
694 0.56613 -0.427403 -0.704857
695 0.704857 -0.427403 -0.56613
696 0.760402 -0.133629 -0.635557
697 0.799255 -0.272288 -0.535771
698 0.816057 -0.0414014 -0.576487
699 0.895111 -0.0412999 -0.443926
700 0.0331946 -0.981871 -0.186621
701 0.0330996 -0.996215 -0.0803753
702 0.0803753 -0.996215 -0.0330996
703 0.186621 -0.981871 -0.0331946
704 0.120956 -0.928132 -0.352052
705 0.259323 -0.886096 -0.384169
706 0.11258 -0.969222 -0.218941
707 0.218941 -0.969222 -0.11258
708 0.384169 -0.886096 -0.259323
709 0.352052 -0.928132 -0.120956
710 0.443926 -0.895111 -0.0412999
711 0.576487 -0.816057 -0.0414014
712 0.56613 -0.704857 -0.427403
713 0.704857 -0.56613 -0.427403
714 0.535771 -0.799255 -0.272288
715 0.635557 -0.760402 -0.133629
716 0.799255 -0.535771 -0.272288
717 0.760402 -0.635557 -0.133629
718 0.816057 -0.576487 -0.0414014
719 0.895111 -0.443926 -0.0412999
720 0.886096 -0.259323 -0.384169
721 0.928132 -0.120956 -0.352052
722 0.886096 -0.384169 -0.259323
723 0.928132 -0.352052 -0.120956
724 0.969222 -0.11258 -0.218941
725 0.969222 -0.218941 -0.11258
726 0.981871 -0.186621 -0.0331946
727 0.996215 -0.0803753 -0.0330996
728 0.981871 -0.0331946 -0.186621
729 0.996215 -0.0330996 -0.0803753
